非车辆原因故障
,车辆编组违反编组规定
,车辆搭载异物
,非车辆原因其他故障
故障
,车体
,,地板
,,,人力制动机拉杆丢失
,,,人力制动机拉杆链丢失
,,,人力制动机拉杆链脱落
,,,人力制动机拉杆链折断
,,,人力制动机拉杆折断
,,,人力制动机链条滑轮丢失
,,,人力制动机其他故障
,,,人力制动机轴导架脱落
,,,人力制动机轴导架折断
,,,人力制动机轴链丢失
,,,人力制动机轴链脱落
,,,人力制动机轴链折断
,空气制动
,,管系
,,,副风缸连接管法兰丢失
,,,管系其他故障
,,,空重车调整装置连接管法兰丢失
,,,连接管法兰螺母丢失
,,,连接管法兰螺栓丢失
,,,连接管折断
,,,支管折损
,,,制动缸连接管法兰丢失
,,,制动支管法兰丢失
,,,主管端接管折损
,,,主管折损
,,编织制动软管总成
,,,编织制动软管总成其他故障
,,,制动软管吊链组成丢失
,,,制动软管吊链组成脱落
,,,制动软管角度不正位
,,,制动软管破损
,,塞门
,,,截断塞门手把关闭
,,,塞门其他故障
,,,脱轨自动制动阀塞门手把关闭
,,,折角塞门手把丢失
,,,折角塞门手把关闭
,,,折角塞门手把角度不正位
,,,折角塞门手把折损
,,空重车调整装置
,,,调整阀丢失
,,,调整阀配件丢失
,,,横跨梁安全链折断
,,,横跨梁丢失
,,,横跨梁折断
,,,横跨梁组装螺母丢失
,,,横跨梁组装螺栓丢失
,,,空重车调整装置其他故障
,,,限压阀配件丢失
,,集尘器
,,,集尘器螺栓丢失
,,,集尘器其他故障
,,,集尘器体破损
,,,集尘器下体丢失
,,制动缸
,,,制动缸缸体脱落
,,,制动缸后堵丢失
,,,制动缸其他故障
,,风缸
,,,风缸其他故障
,,,副风缸缸体丢失
,,,副风缸缸体脱落
,,,副风缸排水堵丢失
,,,副风缸排水塞门丢失
,,,工作风缸缸体丢失
,,,工作风缸缸体脱落
,,,工作风缸排水堵丢失
,,,加速缓解风缸缸体丢失
,,,加速缓解风缸缸体脱落
,,,加速缓解风缸排水堵丢失
,,,降压气室缸体丢失
,,,降压气室缸体脱落
,,,降压气室排水堵丢失
,,,容积风缸缸体丢失
,,,容积风缸缸体脱落
,,,容积风缸排水堵丢失
,,,双室风缸缸体丢失
,,,双室风缸缸体脱落
,,,双室风缸排水堵丢失
,,风缸吊架及卡带
,,,风缸吊架及卡带其他故障
,,,副风缸吊架裂损
,,,副风缸卡带折损
,,,工作风缸吊架裂损
,,,工作风缸吊架螺母丢失
,,,工作风缸吊架螺母松动
,,,工作风缸吊架螺栓丢失
,,,工作风缸吊架螺栓折断
,,,工作风缸卡带折损
,,,加速缓解风缸吊架裂损
,,,加速缓解风缸吊架螺母丢失
,,,加速缓解风缸吊架螺母松动
,,,加速缓解风缸吊架螺栓丢失
,,,加速缓解风缸吊架螺栓折断
,,,降压气室吊架裂损
,,,降压气室吊架螺母丢失
,,,降压气室吊架螺母松动
,,,降压气室吊架螺栓丢失
,,,降压气室吊架螺栓折断
,,,降压气室卡带折损
,,,双室风缸吊架裂损
,,,双室风缸吊架螺栓丢失
,,,制动缸吊架裂损
,,,制动缸吊架螺母丢失
,,,制动缸吊架螺母松动
,,,制动缸吊架螺栓丢失
,,,制动缸吊架螺栓折断
,,制动阀
,,,制动阀丢失
,,,制动阀防盗装置丢失
,,,制动阀防盗装置脱落
,,,制动阀配件丢失
,,,制动阀其他故障
,,,制动机缓解不良
,,脱轨自动制动装置
,,,脱轨自动制动装置拉环丢失
,,,脱轨自动制动装置拉环脱落
,,,脱轨自动制动装置其他故障
,,缓解装置
,,,缓解阀拉杆吊脱落
,,,缓解阀拉杆丢失
,,,缓解阀拉杆开口销丢失
,,,缓解阀拉杆开口销未劈
,,,缓解阀拉杆脱落
,,,缓解阀拉杆折断
,,,缓解装置其他故障
,车钩缓冲
,,钩舌
,,,钩舌丢失
,,,钩舌裂损
,,,钩舌其他故障
,,钩体
,,,钩体或牵引杆其他故障
,,,钩体裂损
,,,互钩差超限
,,,牵引杆杆身裂损
,,车钩附件
,,,车钩附件其他故障
,,,钩舌推铁丢失
,,,钩舌销丢失
,,,钩舌销折断
,,,钩锁锁腿折断
,,,下锁销组成脱落
,,钩尾框
,,,钩尾框裂损
,,,钩尾框其他故障
,,钩尾框附件
,,,钩尾框附件其他故障
,,,钩尾框托板裂损
,,,钩尾框托板螺母丢失
,,,钩尾框托板螺栓丢失
,,,钩尾框托板螺栓折断
,,,钩尾销安全吊架螺母丢失
,,,钩尾销安全吊架螺栓丢失
,,,钩尾销安全吊架螺栓折断
,,,钩尾销插托窜出
,,,钩尾销插托定位螺母丢失
,,,钩尾销插托定位螺母松动
,,,钩尾销插托定位螺栓丢失
,,,钩尾销插托定位螺栓折断
,,,钩尾销插托丢失
,,,钩尾销螺母丢失
,,,钩尾销螺母松动
,,,钩尾销托梁螺栓丢失
,,,钩尾销托梁螺栓折断
,,车钩缓冲装置附件
,,,车钩安全托板丢失
,,,车钩安全托板裂损
,,,车钩安全托板螺母丢失
,,,车钩安全托板螺栓丢失
,,,车钩缓冲装置附件其他故障
,,,车钩托梁裂损
,,,车钩托梁螺母丢失
,,,车钩托梁螺栓丢失
,,,车钩托梁螺栓折断
,,,车钩托梁折断
,,,从板丢失
,,,从板破损
,,,从板折断
,,,防跳插销丢失
,,,防跳插销链丢失
,,,防跳插销链折断
,,,防跳插销未插设
,,,钩提杆丢失
,,,钩提杆复位弹簧丢失
,,,钩提杆复位弹簧折断
,,,钩提杆脱落
,,,钩提杆弯曲
,,,钩提杆折断
,,,钩提链丢失
,,,钩提链折断
,,,止挡铁螺母丢失
,,,止挡铁螺栓丢失
,,,止挡铁螺栓折断
,,缓冲器
,,,缓冲器其他故障
,,,缓冲器箱体破损
,轮对
,,车轮
,,,车轮其他故障
,,,车轮缺损
,,滚动轴承
,,,滚动轴承冒烟
,,,滚动轴承密封罩脱出
,,,滚动轴承其他故障
,,,滚动轴承前盖丢失
,,,滚动轴承前盖破损
,,,滚动轴承施封锁丢失
,,,滚动轴承施封锁开锁
,,,滚动轴承甩油
,,,滚动轴承外圈破损
,,,滚动轴承轴端螺栓丢失
,,,滚动轴承轴端螺栓折断
,其他故障
